name,keyword
"Mascot Server",http://edamontology.org/format_1915
"Mascot Server",http://edamontology.org/format_3244
"Mascot Server",http://edamontology.org/format_3652
"Mascot Server",http://edamontology.org/format_2330
"Mascot Server",http://edamontology.org/format_3834
"Mascot Server",http://edamontology.org/format_3651
"Mascot Server",http://edamontology.org/format_3653
bedtools_genomecoveragebed_histogram,http://edamontology.org/format_2572
bedtools_genomecoveragebed_histogram,http://edamontology.org/format_3003
DSSP,http://edamontology.org/format_1476
DSSP,http://edamontology.org/format_1477
SWISS-MODEL,http://edamontology.org/format_1929
Orphadata,http://edamontology.org/format_1964
SwissParam,http://edamontology.org/format_3816
NetPhosK,http://edamontology.org/format_1929
Libra,http://edamontology.org/format_3655
SearchGUI,http://edamontology.org/format_3652
SearchGUI,http://edamontology.org/format_1929
SearchGUI,http://edamontology.org/format_3651
SearchGUI,http://edamontology.org/format_3653
Comet,http://edamontology.org/format_3244
Comet,http://edamontology.org/format_3654
"Clustal Omega",http://edamontology.org/format_1929
PHDhtm,http://edamontology.org/format_1929
SCRWL,http://edamontology.org/format_1476
"PEAKS De Novo",http://edamontology.org/format_3244
"PEAKS De Novo",http://edamontology.org/format_3654
"PEAKS De Novo",http://edamontology.org/format_3652
"PEAKS De Novo",http://edamontology.org/format_3710
"PEAKS De Novo",http://edamontology.org/format_2330
"PEAKS De Novo",http://edamontology.org/format_3712
"PEAKS De Novo",http://edamontology.org/format_3834
"PEAKS De Novo",http://edamontology.org/format_3651
"PEAKS De Novo",http://edamontology.org/format_3653
DEPIB,http://edamontology.org/format_1931
oligo-analysis,http://edamontology.org/format_1929
NetPhos,http://edamontology.org/format_1929
TargetP,http://edamontology.org/format_1929
TMHMM,http://edamontology.org/format_1929
breseq_bam2cov,http://edamontology.org/format_2572
breseq_bam2cov,http://edamontology.org/format_1929
NetChop,http://edamontology.org/format_1929
NetMHCpan,http://edamontology.org/format_1929
CPHmodels,http://edamontology.org/format_1929
"Clustal 1.8 (Clustal W, Clustal X)",http://edamontology.org/format_1929
NetworKIN,http://edamontology.org/format_2330
"SILVA rRNA database",http://edamontology.org/format_1929
"SILVA rRNA database",http://edamontology.org/format_1964
"SILVA rRNA database",http://edamontology.org/format_1207
PDBePISA,http://edamontology.org/format_1476
MonoRes,http://edamontology.org/format_3547
MITOS,http://edamontology.org/format_1929
"Clustal W",http://edamontology.org/format_1929
"Clustal 2 (Clustal W, Clustal X)",http://edamontology.org/format_1929
PeptideProphet,http://edamontology.org/format_3655
PeptideProphet,http://edamontology.org/format_2331
ProteinProphet,http://edamontology.org/format_3655
ProteinProphet,http://edamontology.org/format_2331
ASAPRatio,http://edamontology.org/format_3655
PepNovo,http://edamontology.org/format_3652
PepNovo,http://edamontology.org/format_3651
PepNovo,http://edamontology.org/format_3654
PepNovo,http://edamontology.org/format_3653
PEP-FOLD,http://edamontology.org/format_1929
MyriMatch,http://edamontology.org/format_3244
MyriMatch,http://edamontology.org/format_3654
MyriMatch,http://edamontology.org/format_3710
MyriMatch,http://edamontology.org/format_1929
MyriMatch,http://edamontology.org/format_3712
MyriMatch,http://edamontology.org/format_3834
MyriMatch,http://edamontology.org/format_3651
Quant,http://edamontology.org/format_3468
Quant,http://edamontology.org/format_3652
NetOGlyc,http://edamontology.org/format_1929
Enterotyping,http://edamontology.org/format_3475
"Banana Genome Hub",http://edamontology.org/format_2330
ProteomicsDB,http://edamontology.org/format_2330
SalmoBase,http://edamontology.org/format_2330
"BioPlex 2.0",http://edamontology.org/format_2330
MaxQuant,http://edamontology.org/format_3752
MaxQuant,http://edamontology.org/format_3758
MaxQuant,http://edamontology.org/format_3475
MaxQuant,http://edamontology.org/format_3620
Cufflinks,http://edamontology.org/format_2330
Cufflinks,http://edamontology.org/format_2573
Cufflinks,http://edamontology.org/format_2305
Cufflinks,http://edamontology.org/format_2572
Cufflinks,http://edamontology.org/format_2306
MuTect,http://edamontology.org/format_1921
OpenSWATH,http://edamontology.org/format_3245
OpenSWATH,http://edamontology.org/format_3244
OpenSWATH,http://edamontology.org/format_3654
OpenSWATH,http://edamontology.org/format_3710
OpenSWATH,http://edamontology.org/format_3246
OpenSWATH,http://edamontology.org/format_3621
OpenSWATH,http://edamontology.org/format_3475
Peptide-shaker,http://edamontology.org/format_3651
demuxlet,http://edamontology.org/format_3020
demuxlet,http://edamontology.org/format_2573
demuxlet,http://edamontology.org/format_2572
demuxlet,http://edamontology.org/format_3462
demuxlet,http://edamontology.org/format_3016
FORECasT,http://edamontology.org/format_2330
XPRESS,http://edamontology.org/format_3655
Kaiju,http://edamontology.org/format_1929
Kaiju,http://edamontology.org/format_1930
MS-GF+,http://edamontology.org/format_3244
MS-GF+,http://edamontology.org/format_3654
MS-GF+,http://edamontology.org/format_3652
MS-GF+,http://edamontology.org/format_3247
MS-GF+,http://edamontology.org/format_1929
MS-GF+,http://edamontology.org/format_3651
MS-GF+,http://edamontology.org/format_3653
viper,http://edamontology.org/format_3752
viper,http://edamontology.org/format_3834
viper,http://edamontology.org/format_3654
gatk2_haplotype_caller-IP,http://edamontology.org/format_3003
gatk2_haplotype_caller-IP,http://edamontology.org/format_2330
gatk2_haplotype_caller-IP,http://edamontology.org/format_1929
gatk2_haplotype_caller-IP,http://edamontology.org/format_2572
gatk2_haplotype_caller-IP,http://edamontology.org/format_3016
gatk2_haplotype_caller-IP,http://edamontology.org/format_3475
GenePattern,http://edamontology.org/format_3162
PicTar,http://edamontology.org/format_2331
hgv_beam,http://edamontology.org/format_2331
Trans-ABySS,http://edamontology.org/format_2546
SignalP,http://edamontology.org/format_1929
"Bowtie 2",http://edamontology.org/format_1930
Segway,http://edamontology.org/format_2919
"ImageJ (NIH)",http://edamontology.org/format_3591
"ImageJ (NIH)",http://edamontology.org/format_3592
"ImageJ (NIH)",http://edamontology.org/format_1957
"ImageJ (NIH)",http://edamontology.org/format_3548
"ImageJ (NIH)",http://edamontology.org/format_3467
"GEM-Mapper v3",http://edamontology.org/format_2182
express-IP,http://edamontology.org/format_2572
express-IP,http://edamontology.org/format_1929
express-IP,http://edamontology.org/format_2573
SpecI,http://edamontology.org/format_1929
metagenomeSeq,http://edamontology.org/format_3752
metagenomeSeq,http://edamontology.org/format_3746
"Metagenomic operational taxonomic units (mOTUs)",http://edamontology.org/format_1931
RnBeads,http://edamontology.org/format_3003
RnBeads,http://edamontology.org/format_3578
ABarray,http://edamontology.org/format_3751
DIA-Umpire,http://edamontology.org/format_3654
DIA-Umpire,http://edamontology.org/format_3655
DIA-Umpire,http://edamontology.org/format_1929
DIA-Umpire,http://edamontology.org/format_3651
DIA-Umpire,http://edamontology.org/format_3747
MiXCR,http://edamontology.org/format_2182
RiboTaper,http://edamontology.org/format_2572
RiboTaper,http://edamontology.org/format_1929
RiboTaper,http://edamontology.org/format_2305
monocle,http://edamontology.org/format_1213
cryoSPARC,http://edamontology.org/format_3547
nanopolish,http://edamontology.org/format_1929
nanopolish,http://edamontology.org/format_2200
signalAlign,http://edamontology.org/format_2546
signalAlign,http://edamontology.org/format_1929
Salmon,http://edamontology.org/format_1929
Salmon,http://edamontology.org/format_1930
umis,http://edamontology.org/format_1930
SCnorm,http://edamontology.org/format_2032
SCnorm,http://edamontology.org/format_3033
CIRCLE-seq,http://edamontology.org/format_1930
sleuth,http://edamontology.org/format_2571
histoCAT,http://edamontology.org/format_3547
"Monocle 2",http://edamontology.org/format_1213
scmap,http://edamontology.org/format_2032
Percolator,http://edamontology.org/format_2332
matchBox,http://edamontology.org/format_2058
decoy.pl,http://edamontology.org/format_2546
hgv_david,http://edamontology.org/format_3475
"Differential RNA-seq pipeline",http://edamontology.org/format_1932
modencode_peakcalling_macs2-IP,http://edamontology.org/format_2572
DCA,http://edamontology.org/format_3475
inDelphi,http://edamontology.org/format_2330
NGMLR,http://edamontology.org/format_1929
NGMLR,http://edamontology.org/format_1930
ilastik,http://edamontology.org/format_3601
ilastik,http://edamontology.org/format_3591
ilastik,http://edamontology.org/format_3592
ilastik,http://edamontology.org/format_3579
ilastik,http://edamontology.org/format_3603
ilastik,http://edamontology.org/format_3596
ilastik,http://edamontology.org/format_3602
ilastik,http://edamontology.org/format_3590
ilastik,http://edamontology.org/format_3467
ReactomePA,http://edamontology.org/format_2330
multiplierz,http://edamontology.org/format_3710
multiplierz,http://edamontology.org/format_3713
multiplierz,http://edamontology.org/format_3712
multiplierz,http://edamontology.org/format_3621
multiplierz,http://edamontology.org/format_3468
multiplierz,http://edamontology.org/format_3752
ASCAT,http://edamontology.org/format_2333
"PEAKS DB",http://edamontology.org/format_3244
"PEAKS DB",http://edamontology.org/format_3654
"PEAKS DB",http://edamontology.org/format_3652
"PEAKS DB",http://edamontology.org/format_1929
"PEAKS DB",http://edamontology.org/format_3712
"PEAKS DB",http://edamontology.org/format_3651
"PEAKS DB",http://edamontology.org/format_3653
Mayu,http://edamontology.org/format_3655
Mayu,http://edamontology.org/format_1929
Mayu,http://edamontology.org/format_3752
PhyML,http://edamontology.org/format_2924
SPAdes,http://edamontology.org/format_1929
SPAdes,http://edamontology.org/format_1930
clusterProfiler,http://edamontology.org/format_2330
MAFFT,http://edamontology.org/format_1929
XTandem,http://edamontology.org/format_3244
XTandem,http://edamontology.org/format_3654
XTandem,http://edamontology.org/format_3652
XTandem,http://edamontology.org/format_1929
XTandem,http://edamontology.org/format_3711
XTandem,http://edamontology.org/format_3834
XTandem,http://edamontology.org/format_3651
XTandem,http://edamontology.org/format_3653
safe,http://edamontology.org/format_3752
GMAP,http://edamontology.org/format_1929
GMAP,http://edamontology.org/format_1932
GMAP,http://edamontology.org/format_2330
GMAP,http://edamontology.org/format_1931
PMut,http://edamontology.org/format_2200
simpleaffy,http://edamontology.org/format_1637
simpleaffy,http://edamontology.org/format_1638
affylmGUI,http://edamontology.org/format_2058
COPASI,http://edamontology.org/format_3685
COPASI,http://edamontology.org/format_2585
COPASI,http://edamontology.org/format_3686
COPASI,http://edamontology.org/format_3239
"Interactive Tree Of Life (iTOL)",http://edamontology.org/format_1910
"Interactive Tree Of Life (iTOL)",http://edamontology.org/format_1912
"Interactive Tree Of Life (iTOL)",http://edamontology.org/format_3159
GOstats,http://edamontology.org/format_2330
GOstats,http://edamontology.org/format_2195
SSAKE,http://edamontology.org/format_2546
"VIPER LC-MS",http://edamontology.org/format_3752
"VIPER LC-MS",http://edamontology.org/format_3834
"VIPER LC-MS",http://edamontology.org/format_3654
ZOOM,http://edamontology.org/format_2571
Jalview,http://edamontology.org/format_1938
Jalview,http://edamontology.org/format_1915
Jalview,http://edamontology.org/format_1997
Jalview,http://edamontology.org/format_1939
Jalview,http://edamontology.org/format_1947
Jalview,http://edamontology.org/format_1929
Jalview,http://edamontology.org/format_3311
Jalview,http://edamontology.org/format_3015
Jalview,http://edamontology.org/format_1476
Jalview,http://edamontology.org/format_1982
Jalview,http://edamontology.org/format_1984
Jalview,http://edamontology.org/format_3774
Jalview,http://edamontology.org/format_1961
Jalview,http://edamontology.org/format_1948
Jalview,http://edamontology.org/format_3313
Jalview,http://edamontology.org/format_1477
TopHat,http://edamontology.org/format_1929
TopHat,http://edamontology.org/format_1930
BWA,http://edamontology.org/format_1929
BWA,http://edamontology.org/format_1332
BWA,http://edamontology.org/format_1930
rtracklayer,http://edamontology.org/format_3003
rtracklayer,http://edamontology.org/format_3005
rtracklayer,http://edamontology.org/format_2305
BCF-Tools-Cat-IP,http://edamontology.org/format_3020
Pindel,http://edamontology.org/format_2572
Pindel,http://edamontology.org/format_1929
GSNAP,http://edamontology.org/format_1929
GSNAP,http://edamontology.org/format_2330
GSNAP,http://edamontology.org/format_1930
GOSemSim,http://edamontology.org/format_2195
ConsensusClusterPlus,http://edamontology.org/format_2330
TAPIR,http://edamontology.org/format_1929
fastq_groomer_parallel,http://edamontology.org/format_2330
meme_fimo,http://edamontology.org/format_1929
meme_fimo,http://edamontology.org/format_2330
meme_fimo,http://edamontology.org/format_2332
BitSeq,http://edamontology.org/format_2572
BitSeq,http://edamontology.org/format_2573
CD-HIT-IP,http://edamontology.org/format_1929
RepeatExplorer,http://edamontology.org/format_1929
RepeatExplorer,http://edamontology.org/format_1930
EBSeq,http://edamontology.org/format_2058
EBSeq,http://edamontology.org/format_2330
MSstats,http://edamontology.org/format_3752
MSstats,http://edamontology.org/format_3714
DOSE,http://edamontology.org/format_2330
ChIPseeker,http://edamontology.org/format_3003
ChIPseeker,http://edamontology.org/format_2078
MeDuSa,http://edamontology.org/format_1929
BUSCO,http://edamontology.org/format_1929
destiny,http://edamontology.org/format_2330
ComplexHeatmap,http://edamontology.org/format_2330
DeepLoc,http://edamontology.org/format_1929
"Conditional quantile normalization",http://edamontology.org/format_2330
DisGeNET,http://edamontology.org/format_2330
ResFinder,http://edamontology.org/format_2546
ResFinder,http://edamontology.org/format_1929
FastME,http://edamontology.org/format_1423
FastME,http://edamontology.org/format_1997
REPuter,http://edamontology.org/format_1942
REPuter,http://edamontology.org/format_1211
REPuter,http://edamontology.org/format_2330
REPuter,http://edamontology.org/format_1929
REPuter,http://edamontology.org/format_1925
REPuter,http://edamontology.org/format_2332
REPuter,http://edamontology.org/format_1930
REPuter,http://edamontology.org/format_1214
REPuter,http://edamontology.org/format_1927
genomation,http://edamontology.org/format_3003
genomation,http://edamontology.org/format_2306
hgv_sift,http://edamontology.org/format_3475
JASPAR,http://edamontology.org/format_1929
CSS,http://edamontology.org/format_1476
ARB,http://edamontology.org/format_1929
I-MUTANT,http://edamontology.org/format_1929
ProFunc,http://edamontology.org/format_1476
"MEME Suite",http://edamontology.org/format_3597
"MEME Suite",http://edamontology.org/format_1964
"MEME Suite",http://edamontology.org/format_1954
"MEME Suite",http://edamontology.org/format_1915
"MEME Suite",http://edamontology.org/format_1367
"MEME Suite",http://edamontology.org/format_1910
"MEME Suite",http://edamontology.org/format_1935
"MEME Suite",http://edamontology.org/format_1912
"MEME Suite",http://edamontology.org/format_1997
"MEME Suite",http://edamontology.org/format_1929
"MEME Suite",http://edamontology.org/format_1982
"MEME Suite",http://edamontology.org/format_1360
"MEME Suite",http://edamontology.org/format_1936
"MEME Suite",http://edamontology.org/format_1197
"MEME Suite",http://edamontology.org/format_1962
"MEME Suite",http://edamontology.org/format_2330
"MEME Suite",http://edamontology.org/format_1925
"MEME Suite",http://edamontology.org/format_2332
"MEME Suite",http://edamontology.org/format_1948
"MEME Suite",http://edamontology.org/format_1940
"MEME Suite",http://edamontology.org/format_3752
"MEME Suite",http://edamontology.org/format_1927
"MEME Suite",http://edamontology.org/format_1966
"MEME Suite",http://edamontology.org/format_2196
RNAmmer,http://edamontology.org/format_1929
g:Profiler,http://edamontology.org/format_2330
"IMGT V-QUEST",http://edamontology.org/format_1929
eggNOG,http://edamontology.org/format_1929
QuasR,http://edamontology.org/format_1957
QuasR,http://edamontology.org/format_1929
QuasR,http://edamontology.org/format_2573
QuasR,http://edamontology.org/format_2572
QuasR,http://edamontology.org/format_1930
HMMER3,http://edamontology.org/format_1929
HMMER3,http://edamontology.org/format_1370
HMMER3,http://edamontology.org/format_3329
HMMER3,http://edamontology.org/format_1963
HMMER3,http://edamontology.org/format_1936
HMMER3,http://edamontology.org/format_1927
"ChEMBL API",http://edamontology.org/format_1929
edgeR,http://edamontology.org/format_1919
"The Flux Capacitor",http://edamontology.org/format_2572
"The Flux Capacitor",http://edamontology.org/format_2306
SILVAngs,http://edamontology.org/format_1929
Rsubread,http://edamontology.org/format_2572
Rsubread,http://edamontology.org/format_2573
"SWISS-MODEL Workspace",http://edamontology.org/format_1929
"CopraRNA web server",http://edamontology.org/format_1929
PASTA,http://edamontology.org/format_1929
CHOPCHOP,http://edamontology.org/format_2031
CHOPCHOP,http://edamontology.org/format_1929
CHOPCHOP,http://edamontology.org/format_2078
MobiDB,http://edamontology.org/format_1964
limma,http://edamontology.org/format_2330
"Assembly converter",http://edamontology.org/format_3003
"Assembly converter",http://edamontology.org/format_3007
"Assembly converter",http://edamontology.org/format_2305
"Assembly converter",http://edamontology.org/format_2306
PHMMER,http://edamontology.org/format_1929
ClustVis,http://edamontology.org/format_2330
ClustVis,http://edamontology.org/format_3033
"ChEMBL BLAST Search",http://edamontology.org/format_1929
vardict,http://edamontology.org/format_2572
2bwt-builder-IP,http://edamontology.org/format_1929
GeSeq,http://edamontology.org/format_1929
CPC2,http://edamontology.org/format_3003
CPC2,http://edamontology.org/format_1929
CPC2,http://edamontology.org/format_2306
NGphylogeny.fr,http://edamontology.org/format_1910
SecretomeP,http://edamontology.org/format_1929
PhyML,http://edamontology.org/format_2330
Velvet,http://edamontology.org/format_2572
Velvet,http://edamontology.org/format_1929
Velvet,http://edamontology.org/format_2573
Velvet,http://edamontology.org/format_1930
ABySS,http://edamontology.org/format_1929
ABySS,http://edamontology.org/format_1930
Circos,http://edamontology.org/format_3475
PDBeFold,http://edamontology.org/format_1476
CCP4,http://edamontology.org/format_1476
CCP4mg,http://edamontology.org/format_1476
NetMHC,http://edamontology.org/format_1929
LipoP,http://edamontology.org/format_1929
ChloroP,http://edamontology.org/format_1929
"DExSI: Targeted GC-MS Metabolomics",http://edamontology.org/format_3650
NetPhorest,http://edamontology.org/format_1929
MACARON,http://edamontology.org/format_3016
NDtree,http://edamontology.org/format_2546
MLST,http://edamontology.org/format_2546
MLST,http://edamontology.org/format_1929
NetMHCII,http://edamontology.org/format_1929
DeconTools,http://edamontology.org/format_3710
DeconTools,http://edamontology.org/format_3244
DeconTools,http://edamontology.org/format_3654
DeconTools,http://edamontology.org/format_3712
"Repeat Explorer",http://edamontology.org/format_1929
"Repeat Explorer",http://edamontology.org/format_1930
PeakAnalyzer,http://edamontology.org/format_3003
PeakAnalyzer,http://edamontology.org/format_3005
PeakAnalyzer,http://edamontology.org/format_2305
ShoRAH,http://edamontology.org/format_2572
ShoRAH,http://edamontology.org/format_1929
MUSCLE,http://edamontology.org/format_1997
MUSCLE,http://edamontology.org/format_1929
MUSCLE,http://edamontology.org/format_1948
MUSCLE,http://edamontology.org/format_1935
MUSCLE,http://edamontology.org/format_1936
MUSCLE,http://edamontology.org/format_1927
TreeDyn,http://edamontology.org/format_1910
TreeDyn,http://edamontology.org/format_1912
NetCTL,http://edamontology.org/format_1929
PredGPI,http://edamontology.org/format_1929
BMGE,http://edamontology.org/format_1984
BMGE,http://edamontology.org/format_1998
BepiPred,http://edamontology.org/format_1929
"BioModels database",http://edamontology.org/format_2585
ALDEx2,http://edamontology.org/format_2058
MACS,http://edamontology.org/format_2572
MACS,http://edamontology.org/format_3003
MACS,http://edamontology.org/format_2573
MACS,http://edamontology.org/format_3475
Bowtie,http://edamontology.org/format_1932
Bowtie,http://edamontology.org/format_2331
Bowtie,http://edamontology.org/format_1929
Bowtie,http://edamontology.org/format_1931
Bowtie,http://edamontology.org/format_1933
DESeq,http://edamontology.org/format_2330
"The Genomic HyperBrowser",http://edamontology.org/format_3003
"The Genomic HyperBrowser",http://edamontology.org/format_3005
"The Genomic HyperBrowser",http://edamontology.org/format_3475
"The Genomic HyperBrowser",http://edamontology.org/format_3164
tophat2,http://edamontology.org/format_1932
tophat2,http://edamontology.org/format_1975
tophat2,http://edamontology.org/format_1929
tophat2,http://edamontology.org/format_2306
tophat2,http://edamontology.org/format_3475
Kraken,http://edamontology.org/format_2546
ANGSD,http://edamontology.org/format_2572
ANGSD,http://edamontology.org/format_3016
