name,keyword
"Mascot Server",http://edamontology.org/format_3247
"Mascot Server",http://edamontology.org/format_3713
"Mascot Server",http://edamontology.org/format_2332
"Mascot Server",http://edamontology.org/format_3752
"Mascot Server",http://edamontology.org/format_3651
"Mascot Server",http://edamontology.org/format_3681
bedtools_genomecoveragebed_histogram,http://edamontology.org/format_3475
DSSP,http://edamontology.org/format_1454
SWISS-MODEL,http://edamontology.org/format_1476
SWISS-MODEL,http://edamontology.org/format_1477
"Collagen Mutation Database (CMD)",http://edamontology.org/format_2331
Orphadata,http://edamontology.org/format_3255
Orphadata,http://edamontology.org/format_2332
SwissParam,http://edamontology.org/format_3883
SwissParam,http://edamontology.org/format_3887
NetPhosK,http://edamontology.org/format_2333
NetPhosK,http://edamontology.org/format_2330
Libra,http://edamontology.org/format_3655
Libra,http://edamontology.org/format_3747
SearchGUI,http://edamontology.org/format_3711
Comet,http://edamontology.org/format_3655
"Clustal Omega",http://edamontology.org/format_1929
PHDhtm,http://edamontology.org/format_3475
SCRWL,http://edamontology.org/format_1476
"PEAKS De Novo",http://edamontology.org/format_3592
"PEAKS De Novo",http://edamontology.org/format_2331
"PEAKS De Novo",http://edamontology.org/format_2330
"PEAKS De Novo",http://edamontology.org/format_3579
"PEAKS De Novo",http://edamontology.org/format_3603
"PEAKS De Novo",http://edamontology.org/format_3604
"PEAKS De Novo",http://edamontology.org/format_3467
DEPIB,http://edamontology.org/format_2331
DEPIB,http://edamontology.org/format_3508
DEPIB,http://edamontology.org/format_3603
DEPIB,http://edamontology.org/format_3751
oligo-analysis,http://edamontology.org/format_3475
NetPhos,http://edamontology.org/format_2333
NetPhos,http://edamontology.org/format_2330
TargetP,http://edamontology.org/format_2330
TMHMM,http://edamontology.org/format_2333
TMHMM,http://edamontology.org/format_2305
breseq_bam2cov,http://edamontology.org/format_3508
breseq_bam2cov,http://edamontology.org/format_3547
breseq_bam2cov,http://edamontology.org/format_3475
NetChop,http://edamontology.org/format_2330
NetMHCpan,http://edamontology.org/format_2331
CPHmodels,http://edamontology.org/format_1476
CPHmodels,http://edamontology.org/format_2330
"Clustal 1.8 (Clustal W, Clustal X)",http://edamontology.org/format_1929
NetworKIN,http://edamontology.org/format_2330
"AceView genes database",http://edamontology.org/format_2331
"SILVA rRNA database",http://edamontology.org/format_2331
"SILVA rRNA database",http://edamontology.org/format_1984
"SILVA rRNA database",http://edamontology.org/format_2330
"SILVA rRNA database",http://edamontology.org/format_2333
