name,keyword
"Mascot Server",http://edamontology.org/data_0945
bedtools_genomecoveragebed_histogram,http://edamontology.org/data_0006
DSSP,http://edamontology.org/data_1277
FlowSOM,http://edamontology.org/data_2600
SWISS-MODEL,http://edamontology.org/data_1460
"Collagen Mutation Database (CMD)",http://edamontology.org/data_3498
Orphadata,http://edamontology.org/data_2800
SwissParam,http://edamontology.org/data_3872
SwissParam,http://edamontology.org/data_3871
NetPhosK,http://edamontology.org/data_2048
NetPhosK,http://edamontology.org/data_2955
Libra,http://edamontology.org/data_2603
SearchGUI,http://edamontology.org/data_0945
Comet,http://edamontology.org/data_0945
PHDhtm,http://edamontology.org/data_0896
SCRWL,http://edamontology.org/data_1460
"PEAKS De Novo",http://edamontology.org/data_0943
"PEAKS De Novo",http://edamontology.org/data_0945
DEPIB,http://edamontology.org/data_3768
DEPIB,http://edamontology.org/data_2048
DEPIB,http://edamontology.org/data_3112
NetPhos,http://edamontology.org/data_2955
NetPhos,http://edamontology.org/data_1277
TargetP,http://edamontology.org/data_1277
T-Coffee,http://edamontology.org/data_0863
TMHMM,http://edamontology.org/data_2955
TMHMM,http://edamontology.org/data_1277
breseq_bam2cov,http://edamontology.org/data_2968
breseq_bam2cov,http://edamontology.org/data_0006
NetChop,http://edamontology.org/data_1277
NetMHCpan,http://edamontology.org/data_1277
"needle (EBI)",http://edamontology.org/data_1381
CPHmodels,http://edamontology.org/data_2085
CPHmodels,http://edamontology.org/data_1277
FASTA,http://edamontology.org/data_0857
"Clustal 1.8 (Clustal W, Clustal X)",http://edamontology.org/data_0863
Dotter,http://edamontology.org/data_2161
BLAST,http://edamontology.org/data_0857
NetworKIN,http://edamontology.org/data_1277
"AceView genes database",http://edamontology.org/data_0916
"AceView genes database",http://edamontology.org/data_1276
"AceView genes database",http://edamontology.org/data_3134
"SILVA rRNA database",http://edamontology.org/data_2048
"SILVA rRNA database",http://edamontology.org/data_1872
"SILVA rRNA database",http://edamontology.org/data_2955
"SILVA rRNA database",http://edamontology.org/data_1383
Phobius,http://edamontology.org/data_1277
PDBePISA,http://edamontology.org/data_1537
PDBePISA,http://edamontology.org/data_0906
"SCIPION WEB TOOLS",http://edamontology.org/data_0889
