name,keyword
"Mascot Server",http://edamontology.org/topic_3520
"Mascot Server",http://edamontology.org/topic_0121
microManager,http://edamontology.org/topic_3383
microManager,http://edamontology.org/topic_0611
PolyPhen-2,http://edamontology.org/topic_1775
PolyPhen-2,http://edamontology.org/topic_0625
PolyPhen-2,http://edamontology.org/topic_3473
PolyPhen-2,http://edamontology.org/topic_3325
PolyPhen-2,http://edamontology.org/topic_0199
bedtools_genomecoveragebed_histogram,http://edamontology.org/topic_3168
bedtools_genomecoveragebed_histogram,http://edamontology.org/topic_0080
bedtools_genomecoveragebed_histogram,http://edamontology.org/topic_0622
motif-x,http://edamontology.org/topic_0160
motif-x,http://edamontology.org/topic_0080
motif-x,http://edamontology.org/topic_2269
FBAT,http://edamontology.org/topic_3517
DSSP,http://edamontology.org/topic_0078
DSSP,http://edamontology.org/topic_3542
AUGUSTUS,http://edamontology.org/topic_3512
AUGUSTUS,http://edamontology.org/topic_0623
SPICE,http://edamontology.org/topic_0092
SPICE,http://edamontology.org/topic_2229
SPICE,http://edamontology.org/topic_3473
FlowSOM,http://edamontology.org/topic_2229
SWISS-MODEL,http://edamontology.org/topic_2814
SWISS-MODEL,http://edamontology.org/topic_2275
SWISS-MODEL,http://edamontology.org/topic_0078
SWISS-MODEL,http://edamontology.org/topic_0082
SWISS-MODEL,http://edamontology.org/topic_0602
MACH,http://edamontology.org/topic_3055
MACH,http://edamontology.org/topic_0625
MACH,http://edamontology.org/topic_3516
MaCH-Admix,http://edamontology.org/topic_3056
"SNPs GO",http://edamontology.org/topic_0078
"SNPs GO",http://edamontology.org/topic_0199
"SNPs GO",http://edamontology.org/topic_0634
"SNPs GO",http://edamontology.org/topic_3053
"Collagen Mutation Database (CMD)",http://edamontology.org/topic_0634
dbNSFP,http://edamontology.org/topic_1775
dbNSFP,http://edamontology.org/topic_3574
dbNSFP,http://edamontology.org/topic_0199
dbNSFP,http://edamontology.org/topic_3077
"Cafe Variome",http://edamontology.org/topic_3489
"Cafe Variome",http://edamontology.org/topic_0625
"Cafe Variome",http://edamontology.org/topic_3325
Orphadata,http://edamontology.org/topic_0089
Orphadata,http://edamontology.org/topic_3068
Orphadata,http://edamontology.org/topic_3325
dbNSFP,http://edamontology.org/topic_3325
Oncotator,http://edamontology.org/topic_2640
Oncotator,http://edamontology.org/topic_2815
Oncotator,http://edamontology.org/topic_2533
Oncotator,http://edamontology.org/topic_0622
GeneMatcher,http://edamontology.org/topic_0077
GeneMatcher,http://edamontology.org/topic_3321
GeneMatcher,http://edamontology.org/topic_0622
PhenomeCentral,http://edamontology.org/topic_3298
PhenomeCentral,http://edamontology.org/topic_0625
PhenomeCentral,http://edamontology.org/topic_3366
PhenomeCentral,http://edamontology.org/topic_3325
PhenomeCentral,http://edamontology.org/topic_0199
"Matchmaker exchange",http://edamontology.org/topic_3473
"Matchmaker exchange",http://edamontology.org/topic_0625
"Matchmaker exchange",http://edamontology.org/topic_3325
"Matchmaker exchange",http://edamontology.org/topic_0602
SPICKER,http://edamontology.org/topic_2814
SPICKER,http://edamontology.org/topic_0078
Chimera,http://edamontology.org/topic_1317
